Name,Status,HierarchyPath
External_auditory_acoustic_meatus_L,Inactive,Skeleton_system/Head_and_Neck/External_auditory_acoustic_meatus_L
Inferior_hypogastric_plexus_R,Inactive,Nervous_system/Abdomen/Repetition_with_PelvisHip/Common/Inferior_hypogastric_plexus_R
Flexor_digiti_minimi_brevis_456hand789_R,Inactive,Muscle_system/Arm_R/Flexor_digiti_minimi_brevis_456hand789_R
Back,Inactive,Muscle_system/Back
Superior_gemellus_male_L,Inactive,Muscle_system/Pelvis_and_Hip/Male/Superior_gemellus_male_L
Stylomastoid_foramen_R,Inactive,Skeleton_system/Head_and_Neck/Stylomastoid_foramen_R
Ischium_female_L,Active,Skeleton_system/Pelvis_and_Hip/Female/Ischium_female_L
Sacral_ganglion_female_R,Inactive,Nervous_system/Pelvis_and_Hip/FemaUVWXYZle/Sacral_ganglion_female_R
Coracohumeral_ligament_R,Inactive,Ligament_system/Arm_R/Coracohumeral_ligament_R
Brachial_R_A,Inactive,Artery_system/Arm_R/Brachial_R_A
S03_Dorsal_root_male_R,Inactive,Nervous_system/Pelvis_and_Hip/MaleUVWXYZ/S03_Dorsal_root_male_R
Medial_pectoral_456C08357T01789_L,Inactive,Nervous_system/Thorax/Common/Medial_pectoral_456C08357T01789_L
Repetition_with_Thorax,Inactive,Nervous_system/Head_and_Neck/Repetition_with_Thorax
Cephalic_R,Inactive,Vein_system/Arm_R/Cephalic_R
Anteromedial_frontal_branch_L,Inactive,Artery_system/Head_and_Neck/Anteromedial_frontal_branch_L
Middle_temporal_gyrus_L,Inactive,Nervous_system/Head_and_Neck/Common/brain/Cerebral_cortex/Left_cerebral_cortex/Left_temporal_lobe/Middle_temporal_gyrus_L
Tertiary_456segmental789_bronchus_456III789_L,Inactive,Respiratory_system/TABCDEFGhorax/Tertiary_456segmental789_bronchus_456III789_L
Parotid246auricular_lymph_vessel_R,Inactive,Lymphatic_system/Head_and_Neck/Parotid246auricular_lymph_vessel_R
Internal_pudendal_female_L_V,Inactive,Vein_system/Pelvis_and_Hip/Female/Internal_pudendal_female_L_V
Superior_orbital_fissure_R,Inactive,Skeleton_system/Head_and_Neck/Superior_orbital_fissure_R
Intercapitular_R,Inactive,Vein_system/Arm_R/Intercapitular_R
T05_Ventral_root_L,Inactive,Nervous_system/Back/Common/T05_Ventral_root_L
Prerectal_fibers_456part_of_levator_ani789_male_R,Inactive,Muscle_system/Pelvis_and_Hip/Male/Prerectal_fibers_456part_of_levator_ani789_male_R
Premolar_bicuspid_first_28_R,Inactive,Skeleton_system/Head_and_Neck/Premolar_bicuspid_first_28_R
Virchow2689s_node,Inactive,Lymphatic_system/Head_and_Neck/Virchow2689s_node
Superior_palpebral_venous_arch_L,Inactive,Vein_system/Head_and_Neck/Superior_palpebral_venous_arch_L
External_jugular_L,Inactive,Vein_system/Head_and_Neck/External_jugular_L
Dorsal_nasal_L,Inactive,Artery_system/Head_and_Neck/Dorsal_nasal_L
Dorsal_digital_hand_L_A,Inactive,Artery_system/Arm_L/Dorsal_digital_hand_L_A
Flexor_digitorum_longus_L,Inactive,Muscle_system/Lower_Limb_L/Common/Flexor_digitorum_longus_L
L04_Spinal_nerve_male_L,Inactive,Nervous_system/Pelvis_and_Hip/MaleUVWXYZ/L04_Spinal_nerve_male_L
T12_456subcostal789_Cutaneous_branches_anterior_male_LABCDEFG,Inactive,Nervous_system/Pelvis_and_Hip/MaleUVWXYZ/T12_456subcostal789_Cutaneous_branches_anterior_male_LABCDEFG
T01_Ventral_root_R,Inactive,Nervous_system/Back/Common/T01_Ventral_root_R
T09_Spinal_nerve_456ventral_ramus789_R,Inactive,Nervous_system/Thorax/Repetition_with_Abdomen/Common/T09_Spinal_nerve_456ventral_ramus789_R
Fibulopopliteal_bursa_L,Inactive,Muscle_system/Lower_Limb_L/Common/Fibulopopliteal_bursa_L
C03_Vertebra,Inactive,Skeleton_system/Head_and_Neck/C03_Vertebra
C07_Dorsal_ramus_medial_branch_R,Inactive,Nervous_system/Head_and_Neck/Common/C07_Dorsal_ramus_medial_branch_R
Posterior_scrotal_male_R,Inactive,Nervous_system/Pelvis_and_Hip/MaleUVWXYZ/Posterior_scrotal_male_R
Ethmoid_perpendicular_plate,Inactive,Skeleton_system/Head_and_Neck/Ethmoid_perpendicular_plate
Azygos_456vena_azygos789,Inactive,Vein_system/Thorax/Azygos_456vena_azygos789
External_carotid_L,Inactive,Artery_system/Head_and_Neck/External_carotid_L
Subdeltoid_bursa_R,Inactive,Muscle_system/Arm_R/Subdeltoid_bursa_R
External_oblique_female_R,Active,Muscle_system/Abdomen/Female/External_oblique_female_R
Psoas_minor_male_LABCDEFG,Inactive,Muscle_system/Pelvis_and_Hip/Male/Psoas_minor_male_LABCDEFG
Flexor_hallucis_longus_L,Inactive,Muscle_system/Lower_Limb_L/Common/Flexor_hallucis_longus_L
Sigmoid_sinus_R,Inactive,Vein_system/Head_and_Neck/Sigmoid_sinus_R
S01_Ventral_root_male_R,Inactive,Nervous_system/Pelvis_and_Hip/MaleUVWXYZ/S01_Ventral_root_male_R
L03_Ventral_root_L,Active,Nervous_system/Pelvis_and_Hip/Common/L03_Ventral_root_L
Ulnar_superficial_branch_L_A,Inactive,Artery_system/Arm_L/Ulnar_superficial_branch_L_A
Inferior_pharyngeal_constrictor_456thyropharyngeal_part789_R,Inactive,Muscle_system/Head_and_Neck/Inferior_pharyngeal_constrictor_456thyropharyngeal_part789_R
S02_Spinal_nerve_male_R,Inactive,Nervous_system/Pelvis_and_Hip/MaleUVWXYZ/S02_Spinal_nerve_male_R
FeSKRmale,Inactive,Ligament_system/Head_and_Neck/Repetition_with_Back/FeSKRmale
Procerus_L,Inactive,Muscle_system/Head_and_Neck/Procerus_L
Superior_cerebral_R,Inactive,Vein_system/Head_and_Neck/Superior_cerebral_R
L05_Spinal_nerve_female_L,Inactive,Nervous_system/Pelvis_and_Hip/FemaUVWXYZle/L05_Spinal_nerve_female_L
Superior_lateral_palpebral_R_V,Inactive,Vein_system/Head_and_Neck/Superior_lateral_palpebral_R_V
Branches_to_the_extrinsic_muscles_of_the_tongue_R,Inactive,Nervous_system/Head_and_Neck/Common/Branches_to_the_extrinsic_muscles_of_the_tongue_R
Tertiary_456segmental789_bronchus_456I789_R,Inactive,Respiratory_system/TABCDEFGhorax/Tertiary_456segmental789_bronchus_456I789_R
Gluteus_minimus_female_R,Active,Muscle_system/Pelvis_and_Hip/Female/Gluteus_minimus_female_R
Internal_iliac_anterior_trunk_male_L_V,Inactive,Vein_system/Pelvis_and_Hip/Male/Internal_iliac_anterior_trunk_male_L_V
Left_gastric_plexus,Inactive,Nervous_system/Thorax/Repetition_with_Abdomen/Common/Left_gastric_plexus
Papillary_muscle_anterior_R,Inactive,Artery_system/Thorax/heart/group10/Papillary_muscle_anterior_R
Primary_cartilaginous_rings_R,Inactive,Respiratory_system/TABCDEFGhorax/Primary_cartilaginous_rings_R
Coracohumeral_ligament_L,Inactive,Ligament_system/Arm_L/Coracohumeral_ligament_L
Testicular_plexus_R,Inactive,Nervous_system/Abdomen/Repetition_with_PelvisHip/MUVWXYZale/Testicular_plexus_R
FemHIJKale,Inactive,Lymphatic_system/Abdomen/FemHIJKale
Parietal_R,Inactive,Skeleton_system/Head_and_Neck/Parietal_R
Flexor_digiti_minimi_brevis_456foot789_L,Inactive,Muscle_system/Lower_Limb_L/Common/Flexor_digiti_minimi_brevis_456foot789_L
Superficial_inguinal_lymph_nodes_456horizontal_tract789_female_R,Inactive,Lymphatic_system/Pelvis_and_Hip/OPQRSTFemale/Superficial_inguinal_lymph_nodes_456horizontal_tract789_female_R
Lateral_cuneiform_R,Inactive,Skeleton_system/Lower_Limb_R/Common/Lateral_cuneiform_R
Circumflex_branch_of_left_coronary_artery,Inactive,Artery_system/Thorax/heart/Circumflex_branch_of_left_coronary_artery
T09246T10_Intervertebral_discABCDEFG,Inactive,Skeleton_system/Back/Common/T09246T10_Intervertebral_discABCDEFG
Internal_carotid_cavernous_part_R,Inactive,Artery_system/Head_and_Neck/Internal_carotid_cavernous_part_R
Tertiary_456segmental789_bronchus_456VIII789_R,Inactive,Respiratory_system/TABCDEFGhorax/Tertiary_456segmental789_bronchus_456VIII789_R
Rhomboideus_minor_L,Inactive,Muscle_system/Back/Common/Rhomboideus_minor_L
Scalene_middle_456scalenus_medius789_L,Inactive,Muscle_system/Head_and_Neck/Scalene_middle_456scalenus_medius789_L
Hypogastric_female_RABCDEFG,Inactive,Nervous_system/Pelvis_and_Hip/FemaUVWXYZle/Hypogastric_female_RABCDEFG
CN_05_456V789_Trigeminal_R,Inactive,Nervous_system/Head_and_Neck/Common/CN_05_456V789_Trigeminal_R
Eighth_rib_R,Inactive,Skeleton_system/Thorax/Eighth_rib_R
Rotatores_thoracis_breves_L,Inactive,Muscle_system/Back/Common/Rotatores_thoracis_breves_L
Frontal,Inactive,Skeleton_system/Head_and_Neck/Frontal
Superior_gluteal_male_R_V,Inactive,Vein_system/Pelvis_and_Hip/Male/Superior_gluteal_male_R_V
Styloglossus_L,Inactive,Muscle_system/Head_and_Neck/Styloglossus_L
Superficial_epigastric_male_R_A,Inactive,Artery_system/Abdomen/Repetition_with_PelvisHip/Male/Superficial_epigastric_male_R_A
Obliquus_capitis_superior_R,Inactive,Muscle_system/Head_and_Neck/Obliquus_capitis_superior_R
Gonadal_456testicular_internal_spermatic789_female_R_A,Inactive,Artery_system/Abdomen/Repetition_with_PelvisHip/Female/Gonadal_456testicular_internal_spermatic789_female_R_A
T04_Dorsal_ramus_R,Inactive,Nervous_system/Back/Common/T04_Dorsal_ramus_R
Inferior_labial_L_A,Inactive,Artery_system/Head_and_Neck/Inferior_labial_L_A
Triceps_456brachii789_medial_head_L,Inactive,Muscle_system/Arm_L/Triceps_456brachii789_medial_head_L
ABCDEFG3rd_Distal_phalanx_hand_L,Inactive,Skeleton_system/Arm_L/ABCDEFG3rd_Distal_phalanx_hand_L
Male,Inactive,Ligament_system/Pelvis_and_Hip/Male
Male,Inactive,Vein_system/Pelvis_and_Hip/Male
Supreme_intercostal_456highest789_R,Inactive,Artery_system/Thorax/Supreme_intercostal_456highest789_R
Superficial_circumflex_iliac_female_R_V,Inactive,Vein_system/Pelvis_and_Hip/Female/Superficial_circumflex_iliac_female_R_V
L04_Dorsal_ramus_lateral_branch_female_R,Inactive,Nervous_system/Pelvis_and_Hip/FemaUVWXYZle/L04_Dorsal_ramus_lateral_branch_female_R
Psoas_major_male_L,Inactive,Muscle_system/Abdomen/Repetition_with_Pelvis_and_Hip/MalZYXQPOe/Psoas_major_male_L
Globus_pallidus_lateralis_R,Inactive,Nervous_system/Head_and_Neck/Common/brain/Globus_pallidus_lateralis_R
Superficial_middle_cerebral_L,Inactive,Vein_system/Head_and_Neck/Superficial_middle_cerebral_L
Angular_gyrus_L,Inactive,Nervous_system/Head_and_Neck/Common/brain/Cerebral_cortex/Left_cerebral_cortex/Left_parietal_lobe/Angular_gyrus_L
Posterior_communicating_R,Inactive,Artery_system/Head_and_Neck/Posterior_communicating_R
